district_id,district_name,county,region,valid_votes,turnout_pct,fidesz_votes,opposition_votes,mi_hazank_votes,mkkp_votes,other_votes
1,"BUDAPEST, 01. számú OEVK",BUDAPEST,budapest,44934,75.96,19144,21778,1229,1975,808
2,"BUDAPEST, 02. számú OEVK",BUDAPEST,budapest,53678,81.09,21864,27881,1653,1607,673
3,"BUDAPEST, 03. számú OEVK",BUDAPEST,budapest,52297,82.06,21872,25323,1163,2861,1078
4,"BUDAPEST, 04. számú OEVK",BUDAPEST,budapest,57801,81.95,23468,29993,1352,2130,858
5,"BUDAPEST, 05. számú OEVK",BUDAPEST,budapest,40013,68.72,15119,20561,1467,2228,638
6,"BUDAPEST, 06. számú OEVK",BUDAPEST,budapest,44422,65.67,18561,21462,2159,1933,307
7,"BUDAPEST, 07. számú OEVK",BUDAPEST,budapest,58235,74.24,17697,35248,1907,2445,938
8,"BUDAPEST, 08. számú OEVK",BUDAPEST,budapest,55761,75.35,20373,30159,2108,1946,1175
9,"BUDAPEST, 09. számú OEVK",BUDAPEST,budapest,50011,70.25,21282,22990,2210,1957,1572
10,"BUDAPEST, 10. számú OEVK",BUDAPEST,budapest,53361,77.28,21940,26051,1929,1954,1487
11,"BUDAPEST, 11. számú OEVK",BUDAPEST,budapest,55485,75.2,21684,28195,2480,1949,1177
12,"BUDAPEST, 12. számú OEVK",BUDAPEST,budapest,51864,72.96,21987,23397,2559,2282,1639
13,"BUDAPEST, 13. számú OEVK",BUDAPEST,budapest,55172,81.0,24612,25080,1833,1749,1898
14,"BUDAPEST, 14. számú OEVK",BUDAPEST,budapest,56240,76.47,25114,24733,2875,2172,1346
15,"BUDAPEST, 15. számú OEVK",BUDAPEST,budapest,58179,75.25,25166,25946,2559,1860,2648
16,"BUDAPEST, 16. számú OEVK",BUDAPEST,budapest,49314,71.73,20880,22856,2410,2039,1129
17,"BUDAPEST, 17. számú OEVK",BUDAPEST,budapest,52906,72.0,22055,24595,3035,1787,1434
18,"BUDAPEST, 18. számú OEVK",BUDAPEST,budapest,59761,78.4,25120,28964,2531,2019,1127
19,"BARANYA, 01. számú OEVK",BARANYA,southern_transdanubia,51597,70.27,21557,22710,2779,2103,2448
20,"BARANYA, 02. számú OEVK",BARANYA,southern_transdanubia,51556,68.31,22898,21226,2829,2099,2504
21,"BARANYA, 03. számú OEVK",BARANYA,southern_transdanubia,46613,66.97,28172,13954,3448,0,1039
22,"BARANYA, 04. számú OEVK",BARANYA,southern_transdanubia,48140,64.6,29403,13835,2575,1215,1112
23,"BÁCS-KISKUN, 01. számú OEVK",BÁCS-KISKUN,southern_great_plain,46462,68.11,27420,13464,3425,1691,462
24,"BÁCS-KISKUN, 02. számú OEVK",BÁCS-KISKUN,southern_great_plain,50197,70.85,26606,17208,3512,2274,597
25,"BÁCS-KISKUN, 03. számú OEVK",BÁCS-KISKUN,southern_great_plain,44540,69.18,26592,13464,2778,0,1706
26,"BÁCS-KISKUN, 04. számú OEVK",BÁCS-KISKUN,southern_great_plain,47382,67.08,29835,11727,3427,1529,864
27,"BÁCS-KISKUN, 05. számú OEVK",BÁCS-KISKUN,southern_great_plain,42827,63.66,25763,12218,4205,0,641
28,"BÁCS-KISKUN, 06. számú OEVK",BÁCS-KISKUN,southern_great_plain,41871,65.71,23976,13697,3017,827,354
29,"BÉKÉS, 01. számú OEVK",BÉKÉS,northern_great_plain,47487,70.42,22920,19019,3167,1142,1239
30,"BÉKÉS, 02. számú OEVK",BÉKÉS,northern_great_plain,44558,65.38,25716,13086,3873,1090,793
31,"BÉKÉS, 03. számú OEVK",BÉKÉS,northern_great_plain,44157,66.13,24623,14982,2784,828,940
32,"BÉKÉS, 04. számú OEVK",BÉKÉS,northern_great_plain,44923,63.95,22379,17821,2631,915,1177
33,"BORSOD-ABAÚJ-ZEMPLÉN, 01. számú OEVK",BORSOD-ABAÚJ-ZEMPLÉN,northern_hungary,49416,68.93,22978,20442,3266,1289,1441
34,"BORSOD-ABAÚJ-ZEMPLÉN, 02. számú OEVK",BORSOD-ABAÚJ-ZEMPLÉN,northern_hungary,46984,66.67,20602,20110,3977,1278,1017
35,"BORSOD-ABAÚJ-ZEMPLÉN, 03. számú OEVK",BORSOD-ABAÚJ-ZEMPLÉN,northern_hungary,40194,58.06,23686,10884,2389,548,2687
36,"BORSOD-ABAÚJ-ZEMPLÉN, 04. számú OEVK",BORSOD-ABAÚJ-ZEMPLÉN,northern_hungary,45293,62.06,24636,15648,3276,856,877
37,"BORSOD-ABAÚJ-ZEMPLÉN, 05. számú OEVK",BORSOD-ABAÚJ-ZEMPLÉN,northern_hungary,45106,62.72,27335,13526,2614,736,895
38,"BORSOD-ABAÚJ-ZEMPLÉN, 06. számú OEVK",BORSOD-ABAÚJ-ZEMPLÉN,northern_hungary,50405,67.19,29737,18618,0,0,2050
39,"BORSOD-ABAÚJ-ZEMPLÉN, 07. számú OEVK",BORSOD-ABAÚJ-ZEMPLÉN,northern_hungary,49498,66.77,29907,13343,3721,1000,1527
40,"CSONGRÁD-CSANÁD, 01. számú OEVK",CSONGRÁD-CSANÁD,southern_great_plain,55432,69.64,20159,27443,3162,2163,2505
41,"CSONGRÁD-CSANÁD, 02. számú OEVK",CSONGRÁD-CSANÁD,southern_great_plain,60759,71.19,27516,24443,5768,1845,1187
42,"CSONGRÁD-CSANÁD, 03. számú OEVK",CSONGRÁD-CSANÁD,southern_great_plain,54040,68.28,29582,16947,5313,0,2198
43,"CSONGRÁD-CSANÁD, 04. számú OEVK",CSONGRÁD-CSANÁD,southern_great_plain,55545,72.77,28753,22328,2938,944,582
44,"FEJÉR, 01. számú OEVK",FEJÉR,central_transdanubia,45424,76.44,21546,18994,2337,1637,910
45,"FEJÉR, 02. számú OEVK",FEJÉR,central_transdanubia,50666,73.02,28380,15219,4153,1860,1054
46,"FEJÉR, 03. számú OEVK",FEJÉR,central_transdanubia,56715,74.86,32520,18092,3168,1944,991
47,"FEJÉR, 04. számú OEVK",FEJÉR,central_transdanubia,44536,68.47,20562,19509,2219,1194,1052
48,"FEJÉR, 05. számú OEVK",FEJÉR,central_transdanubia,42804,64.41,27629,10441,3019,969,746
49,"GYŐR-MOSON-SOPRON, 01. számú OEVK",GYŐR-MOSON-SOPRON,northwestern,47940,72.75,24182,18356,2631,1692,1079
50,"GYŐR-MOSON-SOPRON, 02. számú OEVK",GYŐR-MOSON-SOPRON,northwestern,52655,72.96,31661,16517,3214,0,1263
51,"GYŐR-MOSON-SOPRON, 03. számú OEVK",GYŐR-MOSON-SOPRON,northwestern,49308,74.82,35119,10592,2795,0,802
52,"GYŐR-MOSON-SOPRON, 04. számú OEVK",GYŐR-MOSON-SOPRON,northwestern,56482,75.88,32394,18786,4112,0,1190
53,"GYŐR-MOSON-SOPRON, 05. számú OEVK",GYŐR-MOSON-SOPRON,northwestern,54957,72.21,32549,16746,2807,1663,1192
54,"HAJDÚ-BIHAR, 01. számú OEVK",HAJDÚ-BIHAR,northern_great_plain,47778,72.87,23385,18994,2912,1681,806
55,"HAJDÚ-BIHAR, 02. számú OEVK",HAJDÚ-BIHAR,northern_great_plain,48748,68.68,27111,19560,0,0,2077
56,"HAJDÚ-BIHAR, 03. számú OEVK",HAJDÚ-BIHAR,northern_great_plain,49233,63.87,31266,13627,3075,0,1265
57,"HAJDÚ-BIHAR, 04. számú OEVK",HAJDÚ-BIHAR,northern_great_plain,41206,61.81,25407,9483,2270,0,4046
58,"HAJDÚ-BIHAR, 05. számú OEVK",HAJDÚ-BIHAR,northern_great_plain,44514,64.82,26982,13529,3159,0,844
59,"HAJDÚ-BIHAR, 06. számú OEVK",HAJDÚ-BIHAR,northern_great_plain,44791,65.15,26062,13929,3504,0,1296
60,"HEVES, 01. számú OEVK",HEVES,northern_hungary,56908,70.93,29703,20772,3945,1400,1088
61,"HEVES, 02. számú OEVK",HEVES,northern_hungary,52587,69.32,28878,19148,3141,0,1420
62,"HEVES, 03. számú OEVK",HEVES,northern_hungary,52259,66.65,30863,15450,4746,0,1200
63,"JÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK",JÁSZ-NAGYKUN-SZOLNOK,central_transdanubia,53229,69.83,24972,20864,3921,1545,1927
64,"JÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK",JÁSZ-NAGYKUN-SZOLNOK,central_transdanubia,47173,67.39,28215,15915,2116,0,927
65,"JÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK",JÁSZ-NAGYKUN-SZOLNOK,central_transdanubia,46652,63.13,29923,13614,2426,0,689
66,"JÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK",JÁSZ-NAGYKUN-SZOLNOK,central_transdanubia,45953,63.24,23667,17047,3756,936,547
67,"KOMÁROM-ESZTERGOM, 01. számú OEVK",KOMÁROM-ESZTERGOM,northern_hungary,54457,70.01,26240,22417,2856,1429,1515
68,"KOMÁROM-ESZTERGOM, 02. számú OEVK",KOMÁROM-ESZTERGOM,northern_hungary,55640,68.93,27795,21587,3047,1463,1748
69,"KOMÁROM-ESZTERGOM, 03. számú OEVK",KOMÁROM-ESZTERGOM,northern_hungary,56199,69.09,30965,18605,3728,1479,1422
70,"NÓGRÁD, 01. számú OEVK",NÓGRÁD,southern_great_plain,48323,65.34,26023,17467,2960,879,994
71,"NÓGRÁD, 02. számú OEVK",NÓGRÁD,southern_great_plain,53130,68.41,31921,12722,6315,1097,1075
72,"PEST, 01. számú OEVK",PEST,pest,65216,75.69,29597,28076,3220,2067,2256
73,"PEST, 02. számú OEVK",PEST,pest,74422,79.76,34810,33432,2700,2399,1081
74,"PEST, 03. számú OEVK",PEST,pest,70997,77.75,36877,26540,3051,3035,1494
75,"PEST, 04. számú OEVK",PEST,pest,55443,74.73,30747,18759,3242,1783,912
76,"PEST, 05. számú OEVK",PEST,pest,74278,76.88,34390,31228,3499,2801,2360
77,"PEST, 06. számú OEVK",PEST,pest,67658,75.27,33188,25826,3911,2290,2443
78,"PEST, 07. számú OEVK",PEST,pest,64248,71.76,31623,23449,4219,2915,2042
79,"PEST, 08. számú OEVK",PEST,pest,64942,71.28,29584,27701,3657,2070,1930
80,"PEST, 09. számú OEVK",PEST,pest,49209,64.98,29632,14096,3259,1236,986
81,"PEST, 10. számú OEVK",PEST,pest,51876,66.45,30973,14797,3901,1528,677
82,"PEST, 11. számú OEVK",PEST,pest,62517,71.05,35513,19824,3769,1807,1604
83,"PEST, 12. számú OEVK",PEST,pest,47784,65.31,28244,13696,3693,1239,912
84,"SOMOGY, 01. számú OEVK",SOMOGY,southern_transdanubia,42118,69.84,20062,14670,2490,983,3913
85,"SOMOGY, 02. számú OEVK",SOMOGY,southern_transdanubia,37283,63.89,21571,13855,1525,0,332
86,"SOMOGY, 03. számú OEVK",SOMOGY,southern_transdanubia,41729,68.01,24171,14776,2408,0,374
87,"SOMOGY, 04. számú OEVK",SOMOGY,southern_transdanubia,44771,70.59,26834,16010,0,0,1927
88,"SZABOLCS-SZATMÁR-BEREG, 01. számú OEVK",SZABOLCS-SZATMÁR-BEREG,northern_great_plain,51772,71.11,23254,21806,2718,1075,2919
89,"SZABOLCS-SZATMÁR-BEREG, 02. számú OEVK",SZABOLCS-SZATMÁR-BEREG,northern_great_plain,45200,64.38,26277,14759,2823,0,1341
90,"SZABOLCS-SZATMÁR-BEREG, 03. számú OEVK",SZABOLCS-SZATMÁR-BEREG,northern_great_plain,48914,64.19,31946,12781,2869,0,1318
91,"SZABOLCS-SZATMÁR-BEREG, 04. számú OEVK",SZABOLCS-SZATMÁR-BEREG,northern_great_plain,45879,64.27,31523,11404,2159,0,793
92,"SZABOLCS-SZATMÁR-BEREG, 05. számú OEVK",SZABOLCS-SZATMÁR-BEREG,northern_great_plain,45761,63.72,29647,11250,4185,0,679
93,"SZABOLCS-SZATMÁR-BEREG, 06. számú OEVK",SZABOLCS-SZATMÁR-BEREG,northern_great_plain,45479,64.77,29875,12027,2252,558,767
94,"TOLNA, 01. számú OEVK",TOLNA,southern_transdanubia,40792,69.67,22642,14279,2361,1042,468
95,"TOLNA, 02. számú OEVK",TOLNA,southern_transdanubia,39017,67.58,24362,10536,2942,0,1177
96,"TOLNA, 03. számú OEVK",TOLNA,southern_transdanubia,39856,68.98,25102,11107,2696,0,951
97,"VAS, 01. számú OEVK",VAS,northwestern,51637,76.41,25792,20771,2421,1585,1068
98,"VAS, 02. számú OEVK",VAS,northwestern,50057,74.4,32226,13026,2933,1137,735
99,"VAS, 03. számú OEVK",VAS,northwestern,48101,73.65,31938,12874,2676,0,613
100,"VESZPRÉM, 01. számú OEVK",VESZPRÉM,central_transdanubia,51739,74.51,26119,20301,3231,1484,604
101,"VESZPRÉM, 02. számú OEVK",VESZPRÉM,central_transdanubia,52487,72.11,26762,19172,3582,1765,1206
102,"VESZPRÉM, 03. számú OEVK",VESZPRÉM,central_transdanubia,46720,70.0,23685,20797,0,1115,1123
103,"VESZPRÉM, 04. számú OEVK",VESZPRÉM,central_transdanubia,47535,70.4,29806,13826,2702,849,352
104,"ZALA, 01. számú OEVK",ZALA,northwestern,54894,74.42,31178,16987,3409,1414,1906
105,"ZALA, 02. számú OEVK",ZALA,northwestern,51360,70.53,30734,15467,3185,1363,611
106,"ZALA, 03. számú OEVK",ZALA,northwestern,49314,69.62,26126,18466,2711,975,1036
